% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.1.0.282
% Date:               Dec 30 2022, 22:51
% Table:              Table 3 - Point Probe 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Zdb, Point: 5                                     Z (N*s/m), Point: 5
0.05                                              0.05                                              300                                               63.65676625612843                                 39.43485342678445-1522.974993055676i
0.05                                              0.05                                              302                                               63.42574812903032                                 23.83550796327658-1483.3080115370426i
0.05                                              0.05                                              304                                               63.24042328087468                                 20.392120433313078-1452.0391994557137i
0.05                                              0.05                                              306                                               63.0567311423603                                  23.18628819964228-1421.6045360516723i
0.05                                              0.05                                              308                                               62.83328865530517                                 38.87689763262414-1385.1392609113507i
0.05                                              0.05                                              310                                               62.708903945874724                                115.78216151665511-1361.0669389472814i
0.05                                              0.05                                              312                                               63.441407598721554                                98.64926721120848-1482.8987864968074i
0.05                                              0.05                                              314                                               63.2379306043443                                  34.29650795852997-1451.3605293052876i
0.05                                              0.05                                              316                                               63.04273389444336                                 20.059110248710347-1419.3625066916602i
0.05                                              0.05                                              318                                               62.89239813795475                                 15.637166423517671-1395.059163233647i
0.05                                              0.05                                              320                                               62.76028706828746                                 14.197411102559045-1374.014040251533i
0.05                                              0.05                                              322                                               62.63215766500777                                 14.299879811979295-1353.8908721782539i
0.05                                              0.05                                              324                                               62.496853445792546                                15.949834302268199-1332.9430141169807i
0.05                                              0.05                                              326                                               62.33917473529881                                 20.506294446961505-1308.896916085863i
0.05                                              0.05                                              328                                               62.13018445545298                                 33.72289654977898-1277.4913210322i
0.05                                              0.05                                              330                                               61.87147139642875                                 86.17413700104254-1237.4368169237714i
0.05                                              0.05                                              332                                               62.671888950128405                                184.1602459094368-1347.6491128237453i
0.05                                              0.05                                              334                                               62.84309082303001                                 63.24236319650873-1385.8070794436271i
0.05                                              0.05                                              336                                               62.58913207749272                                 28.63007499224328-1346.971860620267i
0.05                                              0.05                                              338                                               62.40712118184434                                 18.824468042122433-1319.203661199526i
0.05                                              0.05                                              340                                               62.26415955434727                                 15.081664087520203-1297.712986729666i
0.05                                              0.05                                              342                                               62.1391536761855                                  13.487916625710012-1279.1855443363222i
0.05                                              0.05                                              344                                               62.02160164347379                                 12.936671291279971-1261.9939269977062i
0.05                                              0.05                                              346                                               61.904938801001734                                13.106810082752345-1245.1534636529495i
0.05                                              0.05                                              348                                               61.78332839823347                                 14.060633052238874-1227.8291652269957i
0.05                                              0.05                                              350                                               61.649168313792856                                16.38873192671211-1208.9783288673505i
0.05                                              0.05                                              352                                               61.49085192377931                                 22.553000947592913-1187.0369150037002i
0.05                                              0.05                                              354                                               61.34312038202421                                 43.59664265534043-1166.4144020227732i
0.05                                              0.05                                              356                                               61.40745259617176                                 47.99015090090166-1174.9263873576572i
0.05                                              0.05                                              358                                               61.15566771895197                                 43.466159467818514-1141.4811724659892i
0.05                                              0.05                                              360                                               60.78043450568161                                 78.2056203122475-1091.2122389800268i
0.05                                              0.05                                              362                                               60.90099377679547                                 221.70929480159353-1086.920102200384i
0.05                                              0.05                                              364                                               62.34825875803648                                 179.08663245203167-1298.1324017046136i
0.05                                              0.05                                              366                                               62.03892960375811                                 67.37051510616571-1262.7846416834545i
0.05                                              0.05                                              368                                               61.689007590917626                                41.520919660227804-1213.9379598619284i
0.05                                              0.05                                              370                                               61.387375564416814                                41.572548653751866-1172.4543478172818i
0.05                                              0.05                                              372                                               61.09710659944768                                 73.16854083520145-1132.2711387028764i
0.05                                              0.05                                              374                                               61.526925333767                                   153.75676019016194-1182.2356105390097i
0.05                                              0.05                                              376                                               61.86730696597913                                 70.94089183890543-1237.807951730717i
0.05                                              0.05                                              378                                               61.625194228145936                                32.83737526304733-1205.309549860998i
0.05                                              0.05                                              380                                               61.43043683086853                                 21.447487713309275-1178.8267262601444i
0.05                                              0.05                                              382                                               61.27711413914557                                 16.907800696814373-1158.2690207864111i
0.05                                              0.05                                              384                                               61.14538540876069                                 14.775696361930327-1140.8613036677236i
0.05                                              0.05                                              386                                               61.024616286094314                                13.7518773425166-1125.1187874409077i
0.05                                              0.05                                              388                                               60.90858811688807                                 13.378410949998596-1110.1914413585507i
0.05                                              0.05                                              390                                               60.792874543410036                                13.502822902115716-1095.4958576006536i
0.05                                              0.05                                              392                                               60.67353832232479                                 14.11363490112138-1080.5375713770031i
0.05                                              0.05                                              394                                               60.54558448786735                                 15.341013246379944-1064.7169010726311i
0.05                                              0.05                                              396                                               60.40234568286799                                 17.561870510670843-1047.264130685648i
0.05                                              0.05                                              398                                               60.23276881538856                                 21.59231034837607-1026.9338343632244i
