% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 26 2022, 11:38
% Table:              Table 1 - Global Evaluation 1
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Z_in (s/kg)                                       Impedance (1)
0.1                                               0.1                                               349.23                                            196.64908673028938                                3.727133699926931E9-5.686550291820365E9i
0.1                                               0.1                                               440                                               190.32567028218253                                3.276122105098895E9+2.1386895151321417E8i
0.1                                               0.1                                               523.25                                            205.0157510869008                                 1.5855045437034727E10-8.123686618737217E9i
0.1                                               0.1                                               659.25                                            189.15207951921528                                6.605842979955175E8-2.7910558839319983E9i
0.1                                               0.1                                               783.99                                            192.17291171889298                                1.8629859584767468E9-3.6085954347219234E9i
0.1                                               0.18571428571428572                               349.23                                            197.44129560361455                                5.109939376585906E8-7.430881829389701E9i
0.1                                               0.18571428571428572                               440                                               193.5875313153178                                 2.011346057380695E9-4.335606832335207E9i
0.1                                               0.18571428571428572                               523.25                                            194.0581480330882                                 4.830467638402879E9+1.4574041162961874E9i
0.1                                               0.18571428571428572                               659.25                                            187.59815579649236                                3.3756446015615535E8-2.3744486852276807E9i
0.1                                               0.18571428571428572                               783.99                                            198.22996240418988                                5.182959474740132E9-6.29791003390678E9i
0.1                                               0.2714285714285714                                349.23                                            191.81644543057607                                2.334347758208382E9-3.121514970253204E9i
0.1                                               0.2714285714285714                                440                                               190.02128610674495                                2.1514387564540526E8-3.162727698584277E9i
0.1                                               0.2714285714285714                                523.25                                            191.74461505258492                                8.929343621390847E8-3.7611811985897484E9i
0.1                                               0.2714285714285714                                659.25                                            190.50679709731827                                2.800034936950557E8-3.340562367122069E9i
0.1                                               0.2714285714285714                                783.99                                            193.03897119479464                                3.6744583070267467E9-2.5750395878381824E9i
0.1                                               0.3571428571428571                                349.23                                            193.91313607571107                                1.141947326596741E9-4.828809923281355E9i
0.1                                               0.3571428571428571                                440                                               190.84040743647597                                4.707581740686498E8-3.4515813258605976E9i
0.1                                               0.3571428571428571                                523.25                                            192.1093773665584                                 3.0764671546783943E9-2.6054763625822964E9i
0.1                                               0.3571428571428571                                659.25                                            187.57057818966678                                2.4909238072357386E8-2.377709029802452E9i
0.1                                               0.3571428571428571                                783.99                                            190.94196704920637                                1.4744430511437004E9-3.2012756601366982E9i
0.1                                               0.44285714285714284                               349.23                                            196.5036184063805                                 3.1647322137301517E9-5.889826909544726E9i
0.1                                               0.44285714285714284                               440                                               188.1068411982383                                 5.906266729589008E8-2.473435074660072E9i
0.1                                               0.44285714285714284                               523.25                                            204.36420386248932                                7.233873641575021E9-1.486045546294181E10i
0.1                                               0.44285714285714284                               659.25                                            190.05332808456978                                2.966005359214727E8-3.167897973301441E9i
0.1                                               0.44285714285714284                               783.99                                            188.55503636383574                                1.494019543968767E9-2.2220822195970464E9i
0.1                                               0.5285714285714285                                349.23                                            187.47046141766026                                2.232114333459593E9-7.765055890499297E8i
0.1                                               0.5285714285714285                                440                                               189.35555194798786                                2.183192666964604E8-2.9280177694388895E9i
0.1                                               0.5285714285714285                                523.25                                            192.14454743656142                                3.985229801540199E9+7.094057339163555E8i
0.1                                               0.5285714285714285                                659.25                                            188.83725124715608                                2.769919842400496E8-2.7521623135815215E9i
0.1                                               0.5285714285714285                                783.99                                            193.30216201033173                                4.622824032803796E9-1.405871137863809E8i
0.1                                               0.6142857142857142                                349.23                                            200.58520068818885                                5.418515797150841E9-9.223039737695192E9i
0.1                                               0.6142857142857142                                440                                               191.58683189320857                                2.141271610467339E8-3.7900906210907054E9i
0.1                                               0.6142857142857142                                523.25                                            200.32993107738673                                6.705310038018099E9+7.932955139178188E9i
0.1                                               0.6142857142857142                                659.25                                            188.74478171316255                                1.9281280758039716E8-2.729974420145892E9i
0.1                                               0.6142857142857142                                783.99                                            192.26430307417505                                1.3755191252526903E9-3.866699919943388E9i
0.1                                               0.6999999999999998                                349.23                                            198.1348490309836                                 1.2543350205399218E9-7.969456832297397E9i
0.1                                               0.6999999999999998                                440                                               189.22861632322514                                2.2761584313180053E8-2.8845824442882953E9i
0.1                                               0.6999999999999998                                523.25                                            193.3456877682566                                 5.955914605380204E8-4.609879875672963E9i
0.1                                               0.6999999999999998                                659.25                                            190.03337745983126                                2.89581329839147E8-3.161217041450002E9i
0.1                                               0.6999999999999998                                783.99                                            201.17647454676248                                1.0090939756415339E10-5.411695490550368E9i
0.18000000000000002                               0.1                                               349.23                                            184.4858028285391                                 9.789904825307109E8+1.360427234521021E9i
0.18000000000000002                               0.1                                               440                                               187.40762477637705                                1.9990617367818937E9-1.2283393292660074E9i
0.18000000000000002                               0.1                                               523.25                                            191.17282564865565                                1.495701697605189E9+3.2959393743075914E9i
0.18000000000000002                               0.1                                               659.25                                            186.31858539922274                                2.0075142492539907E9+5.0396040074509203E8i
0.18000000000000002                               0.1                                               783.99                                            199.3454718987672                                 9.176939501009905E9+1.339191275918812E9i
0.18000000000000002                               0.18571428571428572                               349.23                                            201.5903562168533                                 6.130511393505112E9-1.0326673917806578E10i
0.18000000000000002                               0.18571428571428572                               440                                               195.8551840282771                                 3.033895911404472E9-5.41300181513661E9i
0.18000000000000002                               0.18571428571428572                               523.25                                            189.89711107499897                                7.757337415037187E8+3.0272282629043837E9i
0.18000000000000002                               0.18571428571428572                               659.25                                            188.76529340307556                                2.329431217105653E9-1.4488429501479683E9i
0.18000000000000002                               0.18571428571428572                               783.99                                            205.4482050436349                                 1.1910544950433697E10-1.4448039858246752E10i
0.18000000000000002                               0.2714285714285714                                349.23                                            185.3165485707322                                 1.7349703517990248E9+6.255042404766514E8i
0.18000000000000002                               0.2714285714285714                                440                                               186.80478708773828                                3.3251585494834584E8-2.1635648414161625E9i
0.18000000000000002                               0.2714285714285714                                523.25                                            191.8918872855026                                 1.5699806201119125E9-3.604777638029046E9i
0.18000000000000002                               0.2714285714285714                                659.25                                            196.95887489424734                                7.004887606784855E9-7.602094777417343E8i
0.18000000000000002                               0.2714285714285714                                783.99                                            195.5336659874646                                 5.369702503185262E9+2.631301932761865E9i
0.18000000000000002                               0.3571428571428571                                349.23                                            198.67899463916075                                6.772245308177763E9+5.282995032901027E9i
0.18000000000000002                               0.3571428571428571                                440                                               191.06938730161536                                5.613460016646739E8-3.532265405761588E9i
0.18000000000000002                               0.3571428571428571                                523.25                                            196.56625472843692                                6.734094470514672E9-8.368485927594791E7i
0.18000000000000002                               0.3571428571428571                                659.25                                            188.00582024465422                                4.968539194744544E8-2.463974662916074E9i
0.18000000000000002                               0.3571428571428571                                783.99                                            188.34290336279278                                2.4549150524397326E9+8.95177161060407E8i
0.18000000000000002                               0.44285714285714284                               349.23                                            198.96794069917038                                7.229162373108776E9-5.156338479034721E9i
0.18000000000000002                               0.44285714285714284                               440                                               188.63542023296944                                3.625174196392062E8-2.678108648979113E9i
0.18000000000000002                               0.44285714285714284                               523.25                                            203.6989127777696                                 1.5052971837846361E10-2.787874063385052E9i
0.18000000000000002                               0.44285714285714284                               659.25                                            194.74790925253055                                2.235213713698142E9-4.984303090720457E9i
0.18000000000000002                               0.44285714285714284                               783.99                                            188.7709603979767                                 2.744968715795978E9+1.919739288768974E7i
