% Model:              Piano Soundboard.mph
% Version:            COMSOL 6.0.0.405
% Date:               Dec 30 2022, 00:31
% Table:              Probe Table 3 - 
% test_x (m)                                      test_y (m)                                        freq (Hz)                                         Zdb, Point: 5                                     Z (N*s/m), Point: 5
0.05                                              0.05                                              349.23                                            61.6414307198214                                  14.284906738106011-1207.9283364352216i
0.05                                              0.05                                              440                                               59.325216030912415                                13.065008082166221-925.161391804436i
0.05                                              0.05                                              523.25                                            58.60497234124505                                 111.20150691853844-844.3341068328622i
0.05                                              0.05                                              659.25                                            55.281927650634756                                19.43490034894048-580.5681133114161i
0.05                                              0.05                                              783.99                                            54.679760575366416                                180.55673645610648-511.0264527691642i
0.05                                              0.15                                              349.23                                            60.255365369914635                                48.59376655696723-1028.689362807431i
0.05                                              0.15                                              440                                               56.72064780281364                                 16.64357109607635-685.3372861379025i
0.05                                              0.15                                              523.25                                            54.061310792145036                                482.2841792284517-148.8686535937414i
0.05                                              0.15                                              659.25                                            53.64161917536969                                 21.0741991758491-480.4670370342897i
0.05                                              0.15                                              783.99                                            50.615372394386064                                209.56035686922925-267.0335978253876i
0.05                                              0.25                                              349.23                                            60.95947800473341                                 27.57464132301479-1116.4556572382353i
0.05                                              0.25                                              440                                               56.31406690352225                                 23.80748545359786-653.7558136933233i
0.05                                              0.25                                              523.25                                            59.682726739489205                                78.41369035181202-960.9376250552086i
0.05                                              0.25                                              659.25                                            54.72039015646839                                 35.06294023654463-543.3970606114647i
0.05                                              0.25                                              783.99                                            55.39363649051167                                 79.01176746161454-583.0834469895411i
0.05                                              0.35                                              349.23                                            58.812362946114895                                34.87050496282481-871.5068112931024i
0.05                                              0.35                                              440                                               55.25746889145349                                 20.21703472375284-578.9069629576086i
0.05                                              0.35                                              523.25                                            55.24921415003921                                 380.30825133375714-436.20003102695085i
0.05                                              0.35                                              659.25                                            51.89451822576334                                 18.554563614587877-392.86386682542644i
0.05                                              0.35                                              783.99                                            53.231653214744874                                190.55644634256294-417.3082599605692i
0.05                                              0.45                                              349.23                                            58.60640952420912                                 127.70813476046342-842.1380758098566i
0.05                                              0.45                                              440                                               54.85493456231086                                 19.122353981266475-552.6967992789768i
0.05                                              0.45                                              523.25                                            57.718714105336616                                93.31014752726962-763.3346068791819i
0.05                                              0.45                                              659.25                                            52.21724691103379                                 18.152335086887632-407.786165757313i
0.05                                              0.45                                              783.99                                            52.05424506140958                                 63.38587840792397-395.5547461076866i
0.05                                              0.55                                              349.23                                            59.84975122590335                                 53.04096874112211-981.4184625034305i
0.05                                              0.55                                              440                                               54.572535733482155                                18.0555146898694-535.0318459456992i
0.05                                              0.55                                              523.25                                            59.12393359980897                                 228.86263656330834-874.6108936298672i
0.05                                              0.55                                              659.25                                            52.54834713952951                                 18.705895437096956-423.63750029058826i
0.05                                              0.55                                              783.99                                            54.51075693905842                                 352.93332391757286-397.46107476425595i
0.05                                              0.65                                              349.23                                            60.85371631434592                                 31.36965362382458-1102.8341203692758i
0.05                                              0.65                                              440                                               56.2846574445405                                  26.62874689886609-651.4338699819552i
0.05                                              0.65                                              523.25                                            62.06973599667713                                 585.2615671625921-1126.062443472986i
0.05                                              0.65                                              659.25                                            54.12428311513919                                 27.06358213439591-507.6892512440225i
0.05                                              0.65                                              783.99                                            54.04894772223162                                 157.73680683277573-478.7011709341566i
0.15                                              0.05                                              349.23                                            47.65648505551511                                 14.625364813927053-241.00499444267686i
0.15                                              0.05                                              440                                               44.68001635918556                                 20.596188866578693-170.15406013553556i
0.15                                              0.05                                              523.25                                            44.49275597768242                                 161.17615203462503-46.46618069300036i
0.15                                              0.05                                              659.25                                            46.31127932235703                                 34.19092519068586-203.96045212909215i
0.15                                              0.05                                              783.99                                            49.19744546234596                                 283.66578450159864+51.58671843593633i
0.15                                              0.15                                              349.23                                            53.43830316207823                                 179.2174940522499-434.2756160815503i
0.15                                              0.15                                              440                                               47.53409289574701                                 21.00557339837676-237.14148455575156i
0.15                                              0.15                                              523.25                                            30.94926220665577                                 30.71393415110177+17.348125448343108i
0.15                                              0.15                                              659.25                                            52.1639495427732                                  85.50560924915506-396.57984428692566i
0.15                                              0.15                                              783.99                                            42.157262079125964                                126.38197033543359+21.46978033356031i
0.15                                              0.25                                              349.23                                            51.792015168103845                                80.34797840986568-380.292391733166i
0.15                                              0.25                                              440                                               43.93657324654677                                 17.960968891283997-156.30765833140882i
0.15                                              0.25                                              523.25                                            51.127032022247334                                152.88501983711492+325.9685239167583i
0.15                                              0.25                                              659.25                                            58.87033334342117                                 616.6637657754848-625.050751646176i
0.15                                              0.25                                              783.99                                            48.648463544904175                                87.66350436369838+256.0696036226549i
0.15                                              0.35                                              349.23                                            51.46301134167739                                 95.60515903024104-361.8224219818093i
0.15                                              0.35                                              440                                               39.641634364395266                                49.24862138168556-82.35613854046625i
0.15                                              0.35                                              523.25                                            29.394956351107645                                28.527029333764037-7.494083461455377i
0.15                                              0.35                                              659.25                                            49.73292602579184                                 59.11607170295762-300.9002419307357i
0.15                                              0.35                                              783.99                                            46.05384476144876                                 140.47198608999997+143.43985652531657i
0.15                                              0.45                                              349.23                                            50.652570596282054                                209.71340075193717-268.7636835880463i
0.15                                              0.45                                              440                                               44.216337269325415                                16.47572053958981-161.64888551551786i
0.15                                              0.45                                              523.25                                            39.0947977981126                                  44.98250277169553+78.07143481860413i
0.15                                              0.45                                              659.25                                            53.938215628132966                                141.17640442015332-477.1893339729052i
0.15                                              0.45                                              783.99                                            47.53882466136301                                 152.55855796765036+182.93438564817637i
0.15                                              0.55                                              349.23                                            40.61194760840682                                 97.8481720740925+44.03295438799034i
0.15                                              0.55                                              440                                               42.622060166207135                                12.451631654050818-134.66489171787086i
0.15                                              0.55                                              523.25                                            43.504131456223476                                69.4447896589097+132.6119893838669i
0.15                                              0.55                                              659.25                                            62.9910763744258                                  1326.7870710046038-480.4194474921648i
0.15                                              0.55                                              783.99                                            41.90956139031713                                 72.57275655879191+101.26942960487342i
0.15                                              0.65                                              349.23                                            53.32757678605844                                 171.88372733916304-430.82951782734756i
0.15                                              0.65                                              440                                               46.43868056355696                                 28.820959455232476-207.87365421745434i
0.15                                              0.65                                              523.25                                            42.704414603641105                                75.31227941633526+113.8765545490472i
0.15                                              0.65                                              659.25                                            54.809895868302625                                147.85937844464462-529.9261169346063i
0.15                                              0.65                                              783.99                                            49.65142787805562                                 263.4454741348329+151.27446004725348i
0.25                                              0.05                                              349.23                                            46.214406240570334                                37.46424382324472-201.05193510719803i
0.25                                              0.05                                              440                                               52.33246046099659                                 64.89038022962437-408.5188821518562i
0.25                                              0.05                                              523.25                                            49.06730363083581                                 73.46142173027903-274.36621502331656i
0.25                                              0.05                                              659.25                                            42.07107407446003                                 115.97531938456501+51.57679228895774i
0.25                                              0.05                                              783.99                                            46.41555702057211                                 140.6932902473101-154.96331057332097i
0.25                                              0.15                                              349.23                                            52.60165930330523                                 190.43435733081424+381.804111773982i
0.25                                              0.15                                              440                                               51.38430099177682                                 30.970198942669626+369.56892259618724i
0.25                                              0.15                                              523.25                                            49.015288595126535                                201.96190847318817+197.2925073397978i
0.25                                              0.15                                              659.25                                            69.21418056377065                                 2191.296159952805-1882.3023006334438i
0.25                                              0.15                                              783.99                                            41.85506318230373                                 123.39311019199174-10.14275236927735i
0.25                                              0.25                                              349.23                                            46.51202205639692                                 73.47500309434014-198.47822180274358i
0.25                                              0.25                                              440                                               58.8267138239991                                  709.3228517486699+510.0187472671366i
0.25                                              0.25                                              523.25                                            61.14537416163557                                 670.1435919412082+923.4105426659727i
0.25                                              0.25                                              659.25                                            64.7499600594105                                  1090.1613135872713+1340.4862826046283i
0.25                                              0.25                                              783.99                                            63.3946902079838                                  1238.6385494193705+806.7608014248057i
0.25                                              0.35                                              349.23                                            53.353930541936414                                303.25013370839457-352.8555401489019i
0.25                                              0.35                                              440                                               50.126858261175386                                132.16838524932845-292.39633643573444i
0.25                                              0.35                                              523.25                                            33.14874988122527                                 42.22478986116654-16.788473482379313i
0.25                                              0.35                                              659.25                                            70.34095799768978                                 3056.8842773868896+1213.335812863349i
0.25                                              0.35                                              783.99                                            52.9052810697387                                  438.6732856197203+52.796363265175295i
0.25                                              0.45                                              349.23                                            38.86345736042148                                 79.5674795193103-36.9654702183354i
0.25                                              0.45                                              440                                               38.28146344881306                                 74.07866220709731-35.27586271647552i
0.25                                              0.45                                              523.25                                            42.25869424143666                                 41.449991137635394+122.89662503112203i
0.25                                              0.45                                              659.25                                            62.40790173719315                                 741.0760732169535+1091.6830074667973i
0.25                                              0.45                                              783.99                                            57.03605436257226                                 607.1894268022221-369.71113125749207i
0.25                                              0.55                                              349.23                                            41.44040939703768                                 51.046235115044134+106.42914667124884i
0.25                                              0.55                                              440                                               44.71295192700239                                 69.60703116436714-157.3375305195318i
0.25                                              0.55                                              523.25                                            44.94049790446489                                 104.74150561282262+142.20298433262823i
0.25                                              0.55                                              659.25                                            58.29960398635767                                 279.63902199904965+773.1903689302563i
0.25                                              0.55                                              783.99                                            65.5508281751999                                  1805.6126071140145-574.1663249685607i
0.25                                              0.65                                              349.23                                            53.92701411625977                                 128.03735886994878+480.2176281554762i
0.25                                              0.65                                              440                                               49.415994250325866                                57.09051319281235+290.1006432430914i
0.25                                              0.65                                              523.25                                            47.351456570571735                                121.39860806996097+199.01164316511483i
0.25                                              0.65                                              659.25                                            54.22419277913527                                 150.9585165719275+491.6377013883197i
0.25                                              0.65                                              783.99                                            60.98195161071914                                 1011.0127218959097+481.2044346609734i
0.35                                              0.05                                              349.23                                            44.50828708753129                                 34.18758621274774-164.52619612221721i
0.35                                              0.05                                              440                                               47.89106641166355                                 28.919944364081655-246.36645801320734i
0.35                                              0.05                                              523.25                                            34.8682015906183                                  36.1130098098949-41.99526038530346i
0.35                                              0.05                                              659.25                                            56.70447914064664                                 345.65373197518693-590.5432169974162i
0.35                                              0.05                                              783.99                                            32.68646392966763                                 42.979816519508915-3.0046296255625924i
0.35                                              0.15                                              349.23                                            65.90210058216931                                 1127.8025221101364+1618.7634471353583i
0.35                                              0.15                                              440                                               55.38272684064302                                 87.67272352955426-581.0972458919846i
0.35                                              0.15                                              523.25                                            42.17512159994321                                 73.4851878595252+105.36127937937121i
0.35                                              0.15                                              659.25                                            58.88631284574628                                 836.753448017721-271.382068410753i
0.35                                              0.15                                              783.99                                            45.13590316439362                                 118.90948911895853+135.97250858215483i
0.35                                              0.25                                              349.23                                            48.652809254391755                                63.69247599006993-263.197910805448i
0.35                                              0.25                                              440                                               51.866843373796556                                84.60488670625229-382.8129028093471i
0.35                                              0.25                                              523.25                                            47.977861396222494                                184.69385227957653+169.30179219200144i
0.35                                              0.25                                              659.25                                            55.72240286477414                                 309.52833646190624-526.9240322218046i
0.35                                              0.25                                              783.99                                            45.649235285623995                                90.05513120440379+169.15033781518235i
0.35                                              0.35                                              349.23                                            51.830840832172946                                54.591290390802286-386.59355432622556i
0.35                                              0.35                                              440                                               43.63946735166205                                 21.770729707032938-150.47872849643022i
0.35                                              0.35                                              523.25                                            38.77739286983608                                 57.74262198729001+64.9013121544136i
0.35                                              0.35                                              659.25                                            52.50331979134                                    78.57753611208494-414.4749658097853i
0.35                                              0.35                                              783.99                                            43.48844905685631                                 81.04188485508541+125.53867956252772i
0.35                                              0.45                                              349.23                                            43.74413546363108                                 77.72980208031987-132.81496326958248i
0.35                                              0.45                                              440                                               43.59275734709148                                 19.366566762817488-149.9847994302259i
0.35                                              0.45                                              523.25                                            42.895655167093                                   134.91214707870955-35.74438976577215i
0.35                                              0.45                                              659.25                                            64.51822314040959                                 1409.0588707370266-919.1228993994279i
0.35                                              0.45                                              783.99                                            44.51835170653676                                 128.427283505562+108.67202383556109i
0.35                                              0.55                                              349.23                                            41.84469927913477                                 123.32961223003389+9.055677157613271i
